taxa, Yield_MI18 , Yield_MI19 , Yield_NE18 , Yield_NE19 , SW_MI18 , SW_MI19 , SW_NE18 , SW_NE19 , FeBio_MI18 , FeBio_MI19 , Fe_MI18 , Fe_MI19 , Fe_NE18 , Fe_NE19 , Zn_MI18 , Zn_MI19 , Zn_NE18 , Zn_NE19 ,Chr07pos29169848,CT_MI,CT_NE,Seed_type,Country,ID,STRUCTURE,Genepool
YBC001,"1,948.70","1,998.40","3,364.20","1,676.10",24,25.6,23.5,27.7,23,44.5,62.9,63.5,44.5,48.5,23.3,25.2,22.3,23.1,TT,29.9,50,Amarillo (dk),Canada,PI136730,Jalisco&Durango,Middle American
YBC002,"2,151.00","2,084.70","1,866.80",624.7,38.7,41.4,35.6,30.2,22.5,20.5,80.1,67.9,46,54.8,29.4,26.1,26.3,28.1,TT,24.3,58.8,Canary,Canada,PI136745,Andean,Andean
YBC003,"2,143.80","2,334.60","1,440.50",595.3,42.2,42.9,33.8,29.9,21,20.5,67.9,70.7,43.8,52.7,35.3,29.2,27.1,27.2,TT,28.3,58.8,Canary,Mexico,PI150948,Andean,Andean
YBC004,"1,942.80",935.8,"1,906.00",457.4,51,56.1,49.5,32,94.5,89,89.7,58.8,39.1,49.7,34.9,30.5,25.5,28.7,TT,21,38.3,White,Belgium,PI161952,Andean,Andean
YBC005,"1,409.30","1,073.00","1,972.80",850.1,38.7,40.6,31.8,29.5,19.5,18.5,75.5,57.3,39.8,49.2,28.9,26.2,24.7,23.6,TT,59.3,70.8,Amarillo (dk),Turkey,PI171767,Andean,Andean
YBC006,"1,339.40",998.7,"1,278.90",470.8,29.9,34.5,24.4,29,22.5,26,64.6,60.2,39.6,49.5,30.1,28.6,26.6,29.9,TT,27.4,46.8,Canary,India,PI174902,Andean,Andean
YBC007,"1,913.30","1,711.50","1,842.60",589.5,41.4,44,37.1,30.3,27,24,58.9,57.5,38.1,46.1,27.9,27.8,26.7,28.3,TT,27,64.5,Canary,Ethiopia,PI194322,Andean,Andean
YBC010,"2,208.80","1,801.20","3,220.00","1,187.40",25.5,26,23,27.5,99.5,90.5,51.3,57.8,49.6,47.7,25,27.7,28.1,28.5,TT,25.2,98.5,Amarillo (lt),Mexico,PI201940,Jalisco&Durango,Middle American
YBC011,"2,165.80","2,238.30","2,765.50","2,071.90",24.4,24.2,22.2,27.7,28,15.5,69.5,75.7,45.4,52,25,29.9,21.6,24.1,TT,37.7,51.5,Amarillo (dk),Colombia,PI207279,Mesoamerica,Middle American
YBC012,"2,254.90","1,816.40","1,480.20",605.6,38.7,41.7,32.6,29.9,22.5,20,77.4,65,42.7,57.2,30.3,27.6,26.4,25.9,TT,27.5,44.3,Canary,Colombia,PI207300,Andean,Andean
